target_fn, target_fp, skip_dd, skip_cnn, dd, dd_thres, cnn, cnn_upper_thres, cnn_lower_thres, accuracy, fn, fp, num_tp, num_tn, runtime
0.25, 0.25, False, False, /dev/null, 116.23774975, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.0, 0.0, 0.965777777778, 0.03125, 0.0173579801623, 128, 8872, 0.285886
0.1, 0.1, False, False, /dev/null, 8.91224954955, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_0.pb, 0.00299627027027, 0.00299627027027, 0.950666666667, 0.0078125, 0.0250225428314, 128, 8872, 4.91163
0.05, 0.05, False, False, /dev/null, 5.73118746747, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.00800787187187, 0.00800787187187, 0.962666666667, 0.0, 0.0189359783589, 128, 8872, 6.21992
0.04, 0.04, False, False, /dev/null, 5.61082222222, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.0870856066066, 0.065063958959, 0.968, 0.0, 0.0162308385933, 128, 8872, 3.32973
0.03, 0.03, False, False, /dev/null, 5.60719479479, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_0.pb, 0.247691675676, 0.0199751351351, 0.976222222222, 0.0078125, 0.0120604147881, 128, 8872, 4.97078
0.02, 0.02, False, False, /dev/null, 2.03374788789, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.766753731732, 0.00800787187187, 0.983555555556, 0.0, 0.00834084761046, 128, 8872, 14.9901
0.01, 0.01, False, False, /dev/null, 2.0348, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_0.pb, 0.829966864865, 0.00599254054054, 0.990666666667, 0.0, 0.00473399458972, 128, 8872, 39.8456
0.0, 0.0, False, False, /dev/null, 2.0348, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_0.pb, 0.997758, 0.00599254054054, 1.0, 0.0, 0.0, 128, 8872, 49.3795
