target_fn, target_fp, skip_dd, skip_cnn, dd, dd_thres, cnn, cnn_upper_thres, cnn_lower_thres, accuracy, fn, fp, num_tp, num_tn, runtime
0.25, 0.25, False, False, /dev/null, 146.966366366, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.0, 0.0, 0.966666666667, 0.03125, 0.0169071235347, 128, 8872, 0.303859
0.1, 0.1, False, False, /dev/null, 20.5223123123, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.0, 0.0, 0.942, 0.015625, 0.0294183949504, 128, 8872, 2.17143
0.05, 0.05, False, False, /dev/null, 10.6240800801, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_0.pb, 0.0159768248248, 0.0159768248248, 0.957555555556, 0.0, 0.0215284039675, 128, 8872, 2.29227
0.04, 0.04, False, False, /dev/null, 6.75891651652, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_0.pb, 0.0429377167167, 0.0219681341341, 0.965333333333, 0.0078125, 0.0175834084761, 128, 8872, 18.9909
0.03, 0.03, False, False, /dev/null, 6.75940540541, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_0.pb, 0.245643681682, 0.0169753763764, 0.975777777778, 0.0, 0.0122858431019, 128, 8872, 5.01625
0.02, 0.02, False, False, /dev/null, 1.24647935936, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_0.pb, 0.520245358358, 0.0169753763764, 0.982888888889, 0.0, 0.00867899008115, 128, 8872, 8.9314
0.01, 0.01, False, False, /dev/null, 1.24290670671, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_0.pb, 0.756902076076, 0.00998551551552, 0.990444444444, 0.0, 0.00484670874662, 128, 8872, 11.3724
0.0, 0.0, False, False, /dev/null, 1.24290670671, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_0.pb, 0.996554448448, 0.00998551551552, 1.0, 0.0, 0.0, 128, 8872, 17.8046
