target_fn, target_fp, skip_dd, skip_cnn, dd, dd_thres, cnn, cnn_upper_thres, cnn_lower_thres, accuracy, fn, fp, num_tp, num_tn, runtime
0.25, 0.25, False, False, /dev/null, 102.077027027, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.0190068848849, 0.0190068848849, 0.969111111111, 0.03125, 0.0156672678088, 128, 8872, 0.285922
0.1, 0.1, False, False, /dev/null, 7.15767, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.058021017017, 0.058021017017, 0.967777777778, 0.0, 0.0163435527502, 128, 8872, 2.38883
0.05, 0.05, False, False, /dev/null, 5.47930970971, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.0230083343343, 0.0230083343343, 0.964666666667, 0.0, 0.0179215509468, 128, 8872, 2.27195
0.04, 0.04, False, False, /dev/null, 5.10604765766, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.0820297137137, 0.0820297137137, 0.968444444444, 0.0, 0.0160054102795, 128, 8872, 2.32989
0.03, 0.03, False, False, /dev/null, 4.9682627027, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.274099287287, 0.115041671672, 0.974444444444, 0.0078125, 0.0129621280433, 128, 8872, 5.12771
0.02, 0.02, False, False, /dev/null, 4.96913, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.49117791992, 0.0390141321321, 0.980222222222, 0.0, 0.0100315599639, 128, 8872, 6.57293
0.01, 0.01, False, False, /dev/null, 2.37553, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.738267423423, 0.0390141321321, 0.989777777778, 0.0, 0.00518485121731, 128, 8872, 9.18294
0.0, 0.0, False, False, /dev/null, 2.37553, /home/luis/noscopeFolder/data/cnn-models/jackson-town-square_convnet_128_32_2.pb, 0.999362, 0.0390141321321, 1.0, 0.0, 0.0, 128, 8872, 17.9963
